ISO3,CPI score 2021,FH Political Rights Score,FH Civil Liberties Score,Net FDI,GDP,Unemployment Rate (%),Refugee Population,Infant Mortality Rate,Population,Aid Level
GRC,49,1.0,2.0,3303648833.22836,188925995936.807,16.3099994659424,90.0,3.4,10698599.0,Low Aid
JOR,49,6.0,5.0,760281690.140845,44182298291.8206,19.2099990844727,2486.0,12.9,10928721.0,High Aid
NAM,49,2.0,2.0,-150172760.720263,10581585630.0773,21.2360000610352,457.0,30.0,2489098.0,High Aid
MYS,48,4.0,4.0,4058769678.64231,337337932675.152,4.53999996185303,1058.0,6.6,33199993.0,High Aid
HRV,47,1.0,2.0,1249365581.0805,57472012426.6853,7.51000022888184,23451.0,4.0,4047680.0,Low Aid
CUB,46,7.0,6.0,529894746.1379,107352000000.0,1.39999997615814,8912.0,4.1,11300698.0,Low Aid
MNE,46,3.0,3.0,530903011.481089,4769860740.74074,17.8799991607666,530.0,2.1,621306.0,Low Aid
CHN,45,7.0,6.0,253095616058.58,14687673892882.0,5.0,175361.0,5.5,1411100000.0,Low Aid
ROU,45,2.0,2.0,3602418172.35716,251362040527.804,5.03000020980835,1343.0,5.5,19265250.0,High Aid
STP,45,2.0,2.0,47112184.7725813,472551022.513384,15.4429998397827,28.0,12.8,218641.0,Low Aid
VUT,45,2.0,2.0,24438741.0351072,896879875.195008,2.01699995994568,286.0,20.3,311685.0,Low Aid
JAM,44,2.0,2.0,265100553.561347,13812425036.5864,6.5,2526.0,11.0,2820436.0,Low Aid
ZAF,44,2.0,2.0,3153552569.39325,337619680138.494,24.3400001525879,474.0,26.9,58801927.0,High Aid
TUN,44,2.0,3.0,592172050.147712,42537832456.2651,16.3729991912842,1636.0,14.3,12161723.0,High Aid
GHA,43,2.0,2.0,1875782953.46905,70043199813.6885,3.7739999294281,13844.0,33.5,32180401.0,High Aid
HUN,43,3.0,3.0,167560108496.545,157182045260.23,4.25,4617.0,3.4,9750149.0,Low Aid
KWT,43,5.0,5.0,-558055522.567383,105960225688.145,3.33100008964539,1422.0,7.5,4360444.0,Low Aid
SEN,43,3.0,3.0,1845663881.2822,24493157583.2282,3.5090000629425,13986.0,30.0,16436120.0,High Aid
SLB,43,2.0,2.0,8980046.94191946,1536148245.54995,0.892000019550323,37.0,16.6,691191.0,Low Aid
BHR,42,7.0,6.0,1021276595.7447,34723357446.8085,1.67400002479553,534.0,6.0,1477469.0,Low Aid
BEN,42,4.0,2.0,174019952.063051,15651545208.8783,1.6710000038147,606.0,56.6,12643123.0,High Aid
BFA,42,4.0,4.0,-98777856.0144418,17933606353.1775,5.05499982833862,15694.0,53.0,21522626.0,High Aid
BGR,42,2.0,2.0,3599690000.0,70240275010.1964,5.11999988555908,510.0,5.4,6934015.0,High Aid
TLS,41,2.0,3.0,72378586.430552,2158392539.93697,4.80399990081787,11.0,44.3,1299995.0,Low Aid
BLR,41,7.0,6.0,1393200000.0,61371126414.1663,4.05000019073486,3139.0,2.2,9379952.0,Low Aid
TTO,41,2.0,2.0,1055969147.72389,21059428851.4883,4.21000003814697,295.0,15.0,1518147.0,Low Aid
IND,40,2.0,4.0,64362364994.3754,2667687951796.5,10.1949996948242,12398.0,26.8,1396387127.0,High Aid
MDV,40,4.0,5.0,440711709.435094,3746321936.37729,5.34000015258789,78.0,5.5,514438.0,Low Aid
COL,39,3.0,3.0,7458624984.21929,270299984937.97,15.039999961853,189866.0,11.4,50930662.0,High Aid
ETH,39,6.0,6.0,2395799880.65984,107657734392.446,4.12599992752075,151426.0,35.4,117190911.0,High Aid
GUY,39,2.0,3.0,1294482521.17088,5471256594.72422,15.58899974823,267.0,23.9,797202.0,Low Aid
MAR,39,5.0,5.0,1418713118.61153,121348138320.276,11.1140003204346,4467.0,16.1,36688772.0,High Aid
MKD,39,3.0,3.0,7693779.7036069,12363580534.6811,16.5499992370605,1576.0,5.2,2072531.0,Low Aid
SUR,39,2.0,2.0,1039899.70549925,2911807496.20227,9.52400016784668,17.0,15.8,607065.0,Low Aid
TZA,39,5.0,5.0,684887679.37722,62409709110.9538,2.77999997138977,689.0,34.9,61704518.0,High Aid
VNM,39,7.0,6.0,15800000000.0,346615750664.384,2.09999990463257,316728.0,16.6,96648685.0,High Aid
ARG,38,2.0,2.0,4722648813.09203,385540224628.292,11.460000038147,99.0,6.8,45376763.0,Low Aid
BRA,38,2.0,3.0,37786286307.45,1448559976218.19,13.9300003051758,1548.0,13.1,213196304.0,High Aid
IDN,38,2.0,4.0,19175077747.8077,1058688935454.78,4.25,13029.0,19.5,271857970.0,High Aid
LSO,38,3.0,3.0,28001666.9222279,2231214507.47611,18.4610004425049,6.0,58.4,2254100.0,High Aid
SRB,38,4.0,3.0,3485786682.97846,53356480453.8048,9.01000022888184,29976.0,4.8,6899126.0,Low Aid
TUR,38,5.0,6.0,7831000000.0,720289368333.191,13.1099996566772,93730.0,8.1,84135428.0,High Aid
GMB,37,4.0,4.0,189576190.794227,1812169483.72578,5.09600019454956,10579.0,34.9,2573995.0,Low Aid
KAZ,37,7.0,5.0,7219543674.29,171082379532.988,4.8899998664856,2741.0,9.1,18755666.0,High Aid
LKA,37,4.0,4.0,433869416.035336,85349112170.9594,5.19999980926514,142664.0,6.0,21919000.0,High Aid
CIV,36,5.0,4.0,712915894.481616,61348579465.1017,2.66000008583069,37525.0,57.5,26811790.0,High Aid
ECU,36,3.0,3.0,1094692900.76401,99291124000.0,6.1100001335144,1689.0,11.1,17588595.0,High Aid
MDA,36,3.0,3.0,157790000.0,11859730543.5525,3.8199999332428,2206.0,12.5,2635130.0,High Aid
PAN,36,2.0,2.0,-2154734383.85,53977000000.0,14.1140003204346,70.0,12.4,4294396.0,Low Aid
PER,36,3.0,3.0,731609218.417583,201705055938.653,7.17999982833862,2834.0,11.3,33304756.0,High Aid
ALB,35,3.0,3.0,1069744879.65453,15131866270.5936,13.0670003890991,15523.0,8.4,2837849.0,High Aid
BIH,35,4.0,4.0,433013741.938227,19950471170.6465,15.2650003433228,15578.0,5.0,3318407.0,High Aid
MWI,35,3.0,3.0,45238934.1012044,12182348212.7073,5.68100023269653,514.0,32.1,19377061.0,High Aid
MNG,35,1.0,2.0,1719115941.52003,13312981594.573,6.59000015258789,2277.0,13.2,3294335.0,Low Aid
THA,35,7.0,5.0,-4947474466.97954,499681757030.968,1.10000002384186,174.0,7.4,71475664.0,High Aid
SLV,34,2.0,4.0,373008737.677302,24563020000.0,5.01999998092651,45640.0,11.1,6292731.0,High Aid
SLE,34,3.0,3.0,172699178.4246,4063289449.58795,3.57200002670288,5734.0,80.5,8233970.0,Low Aid
EGY,33,6.0,6.0,5851800000.0,365252651278.852,7.93900012969971,26553.0,16.8,107465134.0,High Aid
NPL,33,3.0,4.0,126626337.460302,33433670511.9364,13.0780000686646,7483.0,23.6,29348627.0,High Aid
PHL,33,3.0,4.0,6822133290.81919,361751116292.541,2.51999998092651,469.0,21.0,112190977.0,High Aid
ZMB,33,4.0,4.0,245205491.395466,18110631358.3114,6.03000020980835,252.0,41.1,18927715.0,High Aid
DZA,33,6.0,5.0,1143918159.62919,145009181490.62,12.2480001449585,4571.0,19.6,43451666.0,Low Aid
SWZ,32,7.0,5.0,38787632.6722704,3982226055.38454,25.0799999237061,198.0,44.2,1180655.0,High Aid
UKR,32,3.0,4.0,304000000.0,156617861448.576,9.47999954223633,35156.0,7.1,44132049.0,High Aid
GAB,31,7.0,5.0,1716511505.5221,15314577167.8211,21.7259998321533,454.0,29.8,2292573.0,Low Aid
MEX,31,3.0,4.0,31507076728.0,1090515389749.41,4.44999980926514,15398.0,11.8,125998302.0,High Aid
NER,31,4.0,4.0,360653574.571153,13744174689.9681,0.680000007152557,18853.0,59.9,24333639.0,High Aid
PNG,31,4.0,3.0,112992633.547177,23848265895.9538,2.69400000572205,510.0,35.4,9749640.0,Low Aid
AZE,30,7.0,6.0,507151800.0,42693000000.0,7.15999984741211,101468.0,17.4,10093121.0,Low Aid
BOL,30,3.0,3.0,-1129487271.3377,36629843805.0216,7.90000009536743,535.0,20.9,11936162.0,Low Aid
DJI,30,7.0,5.0,158230011.0,3181071153.6622,28.0480003356934,2419.0,47.2,1090156.0,Low Aid
DOM,30,3.0,3.0,2460600000.0,78844702329.0785,6.13000011444092,550.0,27.8,10999664.0,High Aid
LAO,30,7.0,6.0,967706086.202045,18981800705.0794,3.57599997520447,6665.0,35.4,7319399.0,High Aid
PRY,30,3.0,3.0,95203659.0246021,35432178068.1814,7.55000019073486,119.0,16.1,6618695.0,Low Aid
TGO,30,5.0,4.0,-59206820.0004109,7574636978.66175,4.02799987792969,7704.0,44.5,8442580.0,Low Aid
KEN,30,4.0,4.0,426305189.425793,100666542665.72,5.61600017547607,7422.0,29.0,51985780.0,High Aid
AGO,29,6.0,5.0,-1866468113.07454,53619073505.1377,10.3500003814697,8196.0,48.7,33428486.0,High Aid
LBR,29,3.0,4.0,86960000.0,3039982500.0,3.84200000762939,5195.0,58.2,5087584.0,High Aid
MLI,29,6.0,5.0,536851812.897275,17465392915.9153,3.52999997138977,164588.0,63.0,21224040.0,High Aid
RUS,29,7.0,6.0,9478810000.0,1489362488439.76,5.59000015258789,52742.0,4.4,144073139.0,Low Aid
MRT,28,5.0,5.0,927916265.774285,8405491201.74674,11.1370000839233,37931.0,33.0,4498604.0,Low Aid
MMR,28,5.0,6.0,1907154040.9,78930257227.0908,1.48000001907349,1103245.0,34.7,53423198.0,High Aid
PAK,28,5.0,5.0,2057000000.0,300425666773.043,6.55000019073486,133280.0,54.4,227196741.0,High Aid
UZB,28,7.0,6.0,1728248840.56714,59894305352.8955,5.28999996185303,3112.0,13.2,34232050.0,High Aid
CMR,27,6.0,6.0,675186993.65287,40773241531.2395,3.94700002670288,78481.0,48.5,26491087.0,High Aid
KGZ,27,7.0,5.0,-401518600.0,7780874536.66054,4.63000011444092,2883.0,15.9,6579900.0,High Aid
UGA,27,6.0,5.0,873769790.364238,37600368180.9399,4.51100015640259,7442.0,32.1,44404611.0,High Aid
BGD,26,5.0,5.0,1525312160.40493,373902134700.41,5.20900011062622,18948.0,24.1,167420951.0,High Aid
MDG,26,3.0,4.0,358467141.414302,13051441059.3338,2.36299991607666,268.0,45.3,28225177.0,High Aid
MOZ,26,5.0,4.0,3187942207.14962,14028811071.7628,3.77600002288818,81.0,52.5,31178239.0,High Aid
GTM,25,4.0,4.0,1004371660.0,77625486978.2561,3.35899996757507,24544.0,20.2,16858333.0,High Aid
GIN,25,5.0,5.0,176350000.0,14177835816.2777,5.94500017166138,26792.0,65.4,13205153.0,High Aid
TJK,25,7.0,6.0,106534792.807917,8133996647.90397,7.4850001335144,2219.0,28.5,9543207.0,High Aid
LBN,24,5.0,4.0,1623326612.01386,31712128253.7961,12.9709997177124,5495.0,7.2,5662923.0,High Aid
NGA,24,4.0,5.0,2385277665.91608,432198936002.177,5.99900007247925,352960.0,72.3,208327405.0,High Aid
CAF,24,7.0,7.0,34747196.4681,2326720920.59223,6.38000011444092,642161.0,77.2,5343020.0,High Aid
KHM,23,7.0,5.0,3624644990.13295,25872798012.1938,0.298000007867813,11862.0,22.1,16396860.0,High Aid
HND,23,4.0,5.0,236016866.159636,23827840809.7014,10.6800003051758,34456.0,14.7,10121763.0,High Aid
IRQ,23,5.0,6.0,-2859100000.0,184369797315.436,16.2299995422363,333200.0,21.4,42556984.0,High Aid
ZWE,23,6.0,5.0,150360000.0,21509698406.1116,7.89799976348877,8575.0,36.6,15669666.0,High Aid
ERI,22,7.0,7.0,73828000.0,35432178068.1814,7.28000020980835,524738.0,29.7,3555868.0,Low Aid
COG,21,7.0,5.0,-1983178866.50125,10483151175.8451,22.5170001983643,12590.0,32.9,5702174.0,Low Aid
GNB,21,5.0,4.0,20989721.6146962,1431758242.90375,3.60500001907349,1638.0,51.5,2015828.0,Low Aid
TCD,20,7.0,6.0,557692503.3123,10715396135.4168,1.64499998092651,10388.0,67.6,16644701.0,High Aid
COM,20,5.0,4.0,3875846.08058854,1225039230.74083,9.0319995880127,748.0,40.4,806166.0,Low Aid
HTI,20,5.0,5.0,25000000.0,14508218017.4032,15.085000038147,25649.0,46.7,11306801.0,High Aid
NIC,20,6.0,5.0,746500000.0,12586970511.4131,5.93699979782104,8701.0,12.1,6755895.0,Low Aid
SDN,20,7.0,6.0,716939710.59488,27034593750.0,19.2919998168945,787823.0,39.9,44440486.0,High Aid
BDI,19,7.0,6.0,8473943.201,2649671998.86192,1.02999997138977,372951.0,38.8,12220227.0,High Aid
COD,19,7.0,6.0,1498084807.8648,48716960860.0664,5.1269998550415,840392.0,64.1,92853164.0,High Aid
TKM,19,7.0,7.0,1169442175.0,35432178068.1814,4.79899978637695,498.0,36.5,6250438.0,Low Aid
GNQ,17,7.0,7.0,529894746.1379,10099158074.7273,9.29500007629395,145.0,58.8,1596049.0,Low Aid
LBY,17,7.0,6.0,0.0,50357312594.5129,20.3430004119873,17523.0,9.5,6653942.0,High Aid
AFG,16,5.0,6.0,12970147.9832,20143442150.971,11.710000038147,2594827.0,44.8,38972230.0,High Aid
PRK,16,7.0,7.0,6338705.6,35432178068.1814,3.06399989128113,689.0,11.6,25867467.0,Low Aid
YEM,16,7.0,6.0,633679521.900291,42537832456.2651,13.5749998092651,32433.0,45.8,32284046.0,High Aid
VEN,14,7.0,6.0,-456000000.0,42537832456.2651,7.53000020980835,171112.0,21.1,28490453.0,High Aid
SOM,13,7.0,7.0,464000000.0,6883000000.0,19.5669994354248,812356.0,72.9,16537016.0,High Aid
SYR,13,7.0,7.0,633679521.900291,11079795397.2805,10.0109996795654,6702910.0,18.8,20772595.0,High Aid
SSD,11,7.0,7.0,17500000.0,42537832456.2651,13.7449998855591,2188785.0,63.8,10606227.0,High Aid
